date,state,avgpcp
191802,15,1.965
191802,16,2.14111111111
191802,17,3.04666666667
191802,18,1.4525
191802,19,2.88333333333
191802,20,1.931
191802,21,0.43
191802,22,2.373
191802,23,1.02
191802,24,1.00571428571
191802,25,0.73875
191802,26,1.4675
191802,27,2.865
191802,28,1.94333333333
191802,29,0.58
191802,30,2.849
191802,31,1.38125
191802,32,0.174444444444
191802,33,2.206
191802,34,0.333333333333
191802,35,6.16666666667
191802,36,2.455
191802,37,3.74
191802,38,1.96714285714
191802,39,0.57
191802,40,2.2325
191802,41,0.95
191802,42,1.23
191802,43,2.50333333333
191802,44,0.895
191802,45,5.846
191802,46,3.035
191802,47,1.13888888889
191802,48,1.244
191803,1,0.83875
191803,2,1.92428571429
191803,3,1.29
191803,4,5.84
191803,5,1.756
191803,6,2.31333333333
191803,7,4.185
191803,8,2.47857142857
191803,9,1.61444444444
191803,10,1.999
191803,11,0.978888888889
191803,12,1.86888888889
191803,13,0.623333333333
191803,14,1.67555555556
191803,15,2.0825
191803,16,1.85111111111
191803,17,1.95333333333
191803,18,3.81625
191803,19,2.75333333333
191803,20,1.515
191803,21,0.905555555556
191803,22,0.93
191803,23,1.005
191803,24,1.04857142857
191803,25,0.455
191803,26,2.035
191803,27,2.325
191803,28,2.32666666667
191803,29,0.67375
191803,30,2.442
191803,31,2.24875
191803,32,0.375555555556
191803,33,2.491
191803,34,2.38333333333
191803,35,3.36111111111
191803,36,2.568
191803,37,2.47
191803,38,1.88428571429
191803,39,1.03333333333
191803,40,1.7475
191803,41,1.17
191803,42,2.48285714286
191803,43,2.02666666667
191803,44,3.50666666667
191803,45,4.765
191803,46,4.56333333333
191803,47,1.54222222222
191803,48,1.454
191804,1,7.56625
191804,2,0.137142857143
191804,3,7.56444444444
191804,4,0.627142857143
191804,5,1.666
191804,6,4.30666666667
191804,7,5.075
191804,8,5.2
191804,9,5.52111111111
191804,10,0.982
191804,11,5.35666666667
191804,12,4.15777777778
191804,13,2.33777777778
191804,14,3.05222222222
191804,15,4.25
191804,16,7.24888888889
191804,17,2.44666666667
191804,18,6.39375
191804,19,3.62333333333
191804,20,1.911
191804,21,1.84888888889
191804,22,7.689
191804,23,5.40666666667
191804,24,1.39
191804,25,2.20125
191804,26,0.485
191804,27,2.24
191804,28,4.21333333333
191804,29,0.36375
191804,30,2.929
191804,31,6.425
191804,32,2.15888888889
191804,33,3.198
191804,34,3.65444444444
191804,35,1.25333333333
191804,36,4.737
191804,37,4.7
191804,38,5.61571428571
191804,39,2.60222222222
191804,40,5.765
191804,41,3.019
191804,42,0.778571428571
